"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT05","WT08","WT10"
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-01",,"0.02",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-02",,"0.11",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-03",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-04",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-05",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-06",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-07",,"0.18",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-08",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-09",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-10",,"0.01",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-11",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-12",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-13",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-14",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-15",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-16",,"0.22",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-17",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-18",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-19",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-20",,"0.72",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-21",,"0.13",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-22",,"0.02",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-23",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-24",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-25",,"0.72",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-26",,"0.05",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-27",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-28",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-29",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-30",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-01-31",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-02-01",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-02-02",,"0.36",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-02-03",,"0.62",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-02-04",,"2.30",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-02-05",,"0.12",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-02-06",,"0.00",,,,,,,,,
"US1LAPL0001","BELLE CHASSE 1.6 NNE, LA US","2022-02-07",,"0.00",,,,,,,,,
