STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT05,WT08,WT10
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-01,19.46,0.02,,82,75,,,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-02,23.04,0.34,,77,37,1,,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-03,17,0,,52,37,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-04,8.72,0,,57,40,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-05,6.71,0,,68,51,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-06,12.97,0.04,,75,46,1,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-07,11.41,0,,56,42,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-08,11.86,0,,67,54,,,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-09,9.84,0.02,,80,62,1,1,1,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-10,21.03,0.01,,63,48,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-11,16.11,0,,56,45,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-12,6.71,0,,55,46,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-13,8.5,0,,62,43,,,,,1,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-14,8.5,0,,67,53,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-15,16.33,0.41,,67,43,1,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-16,25.28,0,,49,38,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-17,12.3,0,,54,43,,,,,,
USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",2022-01-18,7.38,0,,63,42,,,,,,
