"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-02",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-03",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-04",,"0.48",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-05",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-06",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-07",,"0.01",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-08",,"0.01",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-10",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-17",,"0.01",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-18",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-19",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-20",,"0.01",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-25",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-30",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-01-31",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-01",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-02",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-03",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-04",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-05",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-06",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-07",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-16",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-20",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-21",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-22",,"0.01",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-02-23",,"0.02",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-02",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-03",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-04",,"0.07",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-05",,"0.01",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-06",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-07",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-08",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-09",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-11",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-12",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-13",,"0.03",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-14",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-15",,"0.15",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-16",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-17",,"0.00",,,,,,,
"US1CAAL0039","BERKELEY 0.9 SSE, CA US","2022-03-18",,"0.00",,,,,,,
