STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT08
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-01,3.58,0,,51,35,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-02,2.91,0,,55,32,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-03,10.74,0.13,,54,42,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-04,6.26,0.1,,57,51,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-05,4.47,0,,57,50,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-06,4.03,0,,55,51,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-07,6.71,0.02,,56,46,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-08,3.58,0,,56,41,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-09,6.71,0,,61,40,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-10,4.47,0,,58,45,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-11,2.24,0,,60,41,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-12,4.92,0,,59,41,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-13,2.91,0,,56,45,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-14,3.58,0,,61,39,1,1,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-15,5.59,0,,60,45,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-16,2.68,0,,61,46,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-17,2.91,0,,60,44,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-18,4.03,0,,55,42,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-19,2.24,0,,56,43,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-20,2.46,0,,60,40,1,1,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-21,5.82,0,,68,41,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-22,10.07,0,,69,44,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-23,2.91,0,,60,41,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-24,4.47,0,,60,39,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-25,4.7,0,,57,43,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-26,2.68,0,,57,41,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-27,3.13,0,,67,39,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-28,3.58,0,,64,39,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-29,3.8,0,,62,39,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-30,4.92,0,,59,39,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-01-31,3.8,0,,58,43,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-02-01,8.95,0,,63,39,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-02-02,12.3,0,,64,43,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-02-03,3.8,0,,60,37,,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-02-04,3.8,0,,62,38,1,,,
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-02-05,2.46,0,,63,39,1,,,1
USW00023230,"OAKLAND INTERNATIONAL AIRPORT, CA US",2022-02-06,4.92,0,,65,36,1,,,
